10h41m43.872s	-08d25m11.352s
10h40m26.088s	-08d15m58.536s
10h40m35.184s	-08d27m46.8s
10h39m53.496s	-08d54m24.552s
10h41m20.376s	-08d53m45.96s
00h56m58.092s	-01d17m57.192s
00h55m13.6128s	-01d04m33.852s
00h57m56.964s	-01d20m07.872s
00h55m38.2272s	-01d16m46.308s
00h57m41.5944s	-01d18m44.244s
00h55m46.7736s	-01d17m08.808s
00h56m03.636s	-01d29m16.404s
00h55m39.6696s	-00d52m35.472s
01h10m31.3536s	-15d09m12.6s
01h08m08.0712s	-15d30m42.84s
01h08m08.0232s	-15d10m55.92s
01h08m53.172s	-15d20m13.56s
01h10m41.8416s	-15d03m14.4s
01h10m48.4992s	-15d04m42.96s
01h10m09.3552s	-15d34m24.6s
01h10m23.3928s	-15d35m06s
12h52m18.288s	-15d09m44.28s
12h52m03.12s	-15d16m36.48s
12h52m47.328s	-15d23m23.64s
12h52m38.352s	-15d15m47.16s
12h53m54.792s	-15d47m20.76s
12h52m52.272s	-15d34m19.2s
12h52m59.376s	-15d21m49.32s
10h52m24s	-0d6m10s
11h10m20s	-0d8m34s
11h14m59s	-0d0m43s
11h22m31s	-0d1m2s
11h24m22s	-0d16m34s
10h14m6s	-0d7m38s
13h1m33s	-0d4m51s
9h59m32s	-0d15m23s
10h18m9s	-0d5m3s
10h16m58s	-0d14m53s
14h17m41s	-0d8m39s
14h31m2s	-0d10m57s
10h0m50s	-0d8m57s
13h12m9s	-0d14m20s
